numunitid,obsval,source_code_description,description
2652,12,,6 Days
4024,12,,mmol/ol
13294,12,kilogram per square meter,KG/MM
27060,12,,WBC 7.80
10371,12,,Serum proteins NOS
5791,12,,Faeces odour: offensive
7254,12,,H fl
12990,12,,L/u
11667,12,,next test
11874,12,,pmol/Hr/mg
5468,12,,732
24737,12,,mU/l   (Adu
4891,12,,647
21880,12,,U/Montlhy
1653,12,,sisters
4238,12,,Urine bacteria test: positive
16019,12,,h mg/L
8693,12,billion per liter,10/9 l(54)
11329,12,,(- T score)
6483,12,,litres/week
10414,12,,Immuno-electrophoresis
6415,12,,value
20372,12,,.80
8817,12,,/2 months
3726,12,,Serum random triglyceride level
4752,12,,points PHQ-9 score
7942,12,billion per liter,x10^9/l(4.6%)
21887,12,,ug/g(dry wt)
5856,12,,Serum angiotensin 1 + 11
7040,12,,688
18888,12,,pmol/8x10^8RBCs
3847,12,,1times/week
15241,12,,/2019
4451,12,,10-15
19088,12,,WBC 6.72
11291,12,,lites
10008,12,,mmol/mol (creat)
3503,12,,Neutrophil count NOS
25460,12,,WBC 5.78
9561,12,,30g
25228,12,,WBC 6.80
7943,12,billion per liter,x10^9/l(3.1%)
3102,12,,2hrs post prandial
10825,12,millimole per 24 hours,mmol/24hrs.
13095,12,,3/40
4010,12,,?/day
6055,12,,Chlamydia antigen ELISA negative
6714,12,,Bleeding time
25473,12,,WBC 6.88
25484,12,,WBC 7.72
5976,12,,Serum fasting glucose level
9617,12,,Renal function tests borderline
24025,12,,exp = 2 - 10
6223,12,billion per liter,x10^9/l(2.8%)
19911,12,,WBC 7.91
25225,12,,WBC 6.57
8592,12,billion per liter,10/9 l(24)
4181,12,,reb Bld cell Dist
4358,12,,packet
25717,12,,WBC 4.82
9595,12,,mg/g Creat
3390,12,,( <5 )
26463,12,,WBC 5.24
2147,12,,mU/L(0.5-4.7)
24049,12,,exp = 3.8 - 5.8
17258,12,,iu/lge
3964,12,,times/6months
17403,12,,time/week
19091,12,,WBC 7.48
9295,12,,MM/100
26219,12,,WBC 6.13
7754,12,,15 minute sessions
5597,12,,848
4097,12,,Ounces per day
11376,12,,10*1 iu/mL
7227,12,,653
15944,12,,ug/g(faeces)
20164,12,,vaping
5933,12,,7.4
25470,12,,WBC 6.50
1522,12,,per/month
20071,12,,uUI/ml
5967,12,,Penile swab taken
26731,12,,WBC 5.47
21242,12,,WBC 6.61
6543,12,,less than
11049,12,,x10^6/ej (>40/ej)
23070,12,,umol/L *
5418,12,,758
12281,12,,mmols/
7719,12,,15g/week
25455,12,,WBC 5.43
5873,12,,Helicobacter serology negative
10176,12,kilogram per square meter,Body mass index (Kg/M2)
10651,12,,weel
4981,12,,739
12080,12,,1 Month
6874,12,,931
14650,12,,umol/L.
27450,12,,pmol/8 x10^8 RBCs
26465,12,,WBC 5.51
15745,12,,10^9/CUMM
12495,12,,days#
10689,12,,Plas 5-alpha-dihydrotestos lev
3995,12,,4.7
3414,12,,Category
689,12,,Clotting tests
8798,12,,Kg loss from baseline wt
3242,12,,0.4 - 6.4
10516,12,,Blood sent for HTLV-3 serology
24007,12,,exp = 12 - 16
18754,12,,p/mol
15718,12,,ml/minute/1.73 sq.cm
19140,12,,IU/L *
26790,12,,WBC 8.96
11271,12,,pd
4230,12,,Gastric function tests
15967,12,,Fp24 fee
10362,12,,O/E: inspection of blood
26768,12,,WBC 6.23
18083,12,,mosmol/kgH2O
12550,12,,dauys
23307,11,,Dose 3mg daily
11373,11,day per week,days last week
6388,11,,cent
15339,11,,smoking
26236,11,,WBC 7.77
8791,11,score,/39
2455,11,,bottles wine/week
25475,11,,WBC 7.08
21362,11,,IU/mL Heparin
8001,11,,g/3 days
12278,11,,degree's
1549,11,,cig's per day
4990,11,,772
8691,11,billion per liter,10/9 l(52)
3314,11,,----
4748,11,,GPL-UmL
14879,11,billion per liter,x10^9/l(9.0%)
26760,11,,WBC 5.59
25217,11,,WBC 5.88
21249,11,,year +
10913,11,,762
6502,11,percent,% DONOR
26964,11,,very raised
20057,11,,time in service/week
6308,11,,mmol/mmol Hb
9849,11,,Plasma antithrombin III level
25488,11,,WBC 8.18
21304,11,,ug/Hb g
9011,11,,nmol/mmol{Creatinine}
2908,11,day per week,day/week
5486,11,,792
24110,11,,blank
27033,11,,WBC 4.44
14854,11,billion per liter,x10^9/l(9.4%)
2038,11,,mmmols
4344,11,percent,%age
19284,11,,NOS
10044,11,,5.7
11890,11,,705
9851,11,,Laboratory blood sugar
11310,11,,microlitre
4006,11,,u anti-Xa/ml plasma
4728,11,billion per liter,x10^9/l(4.7%)
7981,11,,iu/10*12 Rbc
3845,11,,5U/week
8644,11,billion per liter,10/9 l(16)
10900,11,,mg/mmo1
8840,11,,MUST
1836,11,,pmol/hr/ml
14703,11,,Synovial fluid for organism
23536,11,,8MG/9MG ALT
3157,11,,CHADS2-VASc Score 3/
25754,11,,WBC 8.11
8703,11,billion per liter,10/9 l(56)
4343,11,,nmol/colle
11011,11,,Grammes/week
5420,11,,745
18501,11,,million per ejaculate
2580,11,billion per liter,x10^9/l(19.3%)
9019,11,,u/
10149,11,,Free androgens
17160,11,,3 weeks
9190,11,,mg/mml C
27047,11,,WBC 6.01
12232,11,,4 or more times a wk
19190,11,,unit/pw
5197,11,,838
2264,11,,GPM U/ml
5651,11,,816
5574,11,,852
4251,11,percent,O/E-height 10-20% over average
25732,11,,WBC 5.91
15206,11,,(no change)
15353,11,,/2weeks
27053,11,,WBC 6.58
16060,11,,L mmol/L
11176,11,,micrg/L
12669,11,,wee
20509,11,billion,10x9
17505,11,,WBC 5.22
26478,11,,WBC 7.04
6696,11,billion per liter,x10^9/l(3.6%)
12019,11,,10/9LHI
26474,11,,WBC 6.65
14384,11,,Age + HCG + AFP Risk
14630,11,,week +2
7017,11,,778
8731,11,percent,% std
7807,11,,RBC count NOS
10291,11,,Faeces: no foreign constituent
21024,11,,(g)
11546,11,millimole per liter,mmolo/l
11266,11,,AFP - Corrected MoM
6971,11,,785
11017,11,,gEl/gSTL
20825,11,,WBC 5.11
2433,11,,4/12
13133,11,,occasionaly
8796,11,,10*3 copies/mL
16810,11,,Urine Noradr/Creatin
27045,11,,WBC 5.95
26809,11,,WBC 7.10
7016,11,,CPMSID
9042,11,,5.0
4132,11,billion per liter,x10^9/l(3.7%)
15056,11,billion per liter,x10^9/l(6.9%)
9170,11,,-20/day
14654,11,,4.2
10059,11,billion per liter,x10^9/l(5.0%)
6076,11,,Serum vit B12 borderline
22019,11,,U/days
26376,11,,stable no change
13323,11,,cigerettes
21267,11,,-7 U/week
26221,11,,WBC 6.27
7384,11,,mls/min/1.73sqm
8604,11,billion per liter,10/9 l(64)
7859,11,,2015
19991,11,,mmol/mol IFCC Units
3243,11,percent,97%
19982,11,,10*9 cells/H
5454,11,,853
11795,11,,minus
25725,11,,WBC 5.35
26780,11,,WBC 7.65
6160,11,,ozs/week
5374,11,,933
10105,11,,10*9/1
24938,11,,not indicated
6677,11,billion per liter,x10^9/l(3.9%)
10833,11,,l/pper min
26483,11,,WBC 7.50
558,11,,^iu/mL
10218,11,,20g/week
2154,11,millimole per liter,mmol/L(3.6-6.0)
22692,11,,umol/:
4162,11,,U/week10
3262,11,,CHADS2 Score 4/6: Pa
2216,11,,d/wk
2812,11,,times/week2
2789,11,,OD units
5336,11,,707
5200,11,,000
19092,11,,WBC 7.86
14944,11,billion per liter,x10^9/l(9.1%)
2513,11,,cells/cumm
25457,11,,WBC 5.58
14518,11,,/48 Hip Score
13879,11,,pmol/8.(10*8){RBCs}
7160,11,,mg/nmol creat
25481,11,,WBC 7.46
6170,11,,pmol/h/mg{Hb}
8811,11,,1-2/day
26224,11,,WBC 6.51
5929,11,,Ferritin level low
13841,11,,weeks & 3 days
2778,11,,@ 10 mins
13991,11,billion per liter,x10^9/l(7.4%)
22303,11,,WBC 7.71
13497,11,,l/mth
23364,11,,1mg/1mg/2mg
6606,11,,pcmol/L
3278,11,,Cigarettes: 10/day f
5513,11,,814
6458,11,,mmol(Ca)/mmol(Creat)
26196,11,,WBC 4.10
4104,11,percent,% risk over 10 years
13869,11,,UML/24
2705,11,,<RESULTS CONTINUED ON NEXT PAGE>
5435,11,,685
8933,11,,bottles/day
13928,11,,social drinker
6690,11,billion per liter,x10^9/l(5.7%)
25755,11,,WBC 8.23
6151,11,,attempts in year
13839,11,,/3 days
11252,11,,Days off work last 12m
12913,11,,mm in 1 ho
8655,11,billion per liter,10/9 l(28)
5863,11,,Lab. test result borderline
2982,11,millimole per liter,mmol/litres
7141,11,,per millilitre
27039,11,,WBC 5.08
22296,11,,WBC 7.23
8661,11,billion per liter,10/9 l(58)
26715,11,,WBC 4.15
15060,11,billion per liter,x10^9/l(10.5%)
22301,11,,WBC 7.66
1956,11,,U/mnth
26234,11,,WBC 7.43
18475,11,,WBC 5.70
13089,11,,gm / 24hr
25464,11,,WBC 6.08
14800,11,,week +6
7829,11,,/ 24
13619,11,,10*6/ejac
3264,11,,]
13804,11,,6.1
15976,11,,WBC 5.28
11554,11,,1-4
7298,11,,times/week 7
23997,11,,exp = 0.85 - 1.45
6756,11,,glasses/monthly
12000,11,,mIU/lHI
7206,11,,ng TDP/gm Hb
5591,11,,750
3763,11,billion per liter,x10^9/l(3.8%)
10960,11,,864
3046,11,,Hepatitis B surface antibody level
9033,11,,RF titre
13695,11,,rollies/day
11194,11,,week +3
11208,11,,0.0
4510,11,,U/yr
4912,11,,809
17825,11,,mmol/g(dry wt)
22042,11,,WBC 5.73
16792,11,,Adrenaln/Creatinine
6351,11,,V/V
27055,11,,WBC 6.77
3605,11,,Enzymes/specific proteins NOS
4267,11,,20015
4050,11,,variable
11246,11,,Days In hospital (diabetes)
13980,11,billion per liter,x10^9/l(3.5%)
3059,11,,Blood electrolyte levels
6937,11,,800
8638,11,billion per liter,10/9 l(12)
13010,11,,Blood bicarbonate level
12102,11,,Scor
6720,11,,Serum creatinine abnormal
26782,11,,WBC 7.73
15256,11,,nmol/gHb/hour
9071,11,,752
13723,11,,oz.
25227,11,,WBC 6.74
22297,11,,WBC 7.30
12275,11,,x 10^9 / litre
11242,11,,/95
26744,11,,WBC 6.47
12917,11,,gramms
15557,10,,Time of Day
26749,10,,WBC 6.98
12765,10,,PCRN
25253,10,,WBC 9.13
12873,10,,mls.
11248,10,,On scale 1-5
7933,10,,Total Cholesterol (m.mol/L)
26723,10,,WBC 4.71
6392,10,,PUS/cmm
10812,10,,Leucopenia
7353,10,percent,%Liveieexcluding
10736,10,,Nucleated red blood cell count
3481,10,,Amniotic fluid cholinesterase
22708,10,,WBC 6.99
6935,10,,1035
7760,10,,GRADE 0-6 (0=N
12267,10,,WBC 8.44
10525,10,,Immunoglobulins normal
25443,10,,WBC 4.51
26779,10,,WBC 7.62
8785,10,,nm/mL/mn
3136,10,,CHADS2 Score 0/6: Pa
2920,10,,u/m
3121,10,,CHADS2-VASc Score 5/
18590,10,,mmool/l
14040,10,,quartly
2118,10,,gram per week
10958,10,,MCL
22388,10,billion per liter,x10^9/l(56.1%)
26785,10,,WBC 8.56
7091,10,,g/sq cm
3975,10,,/day15
14980,10,billion per liter,x10^9/l(2.2%)
18329,10,percent,% of total weight
21501,10,,/g tobacco per week
7800,10,,Haematology test not needed
10508,10,,Thyroglobulin autoantibodies
8675,10,billion per liter,10/9 l(13)
25728,10,,WBC 5.68
9248,10,,umol/l/h
6022,10,,MCH - borderline low
26757,10,,WBC 5.32
25482,10,,WBC 7.63
26776,10,,WBC 7.38
13306,10,,Blood urea/renal function
11035,10,,ol/mol
3756,10,,micro/L
5544,10,,801
15834,10,,mL/m/l
23335,10,,5/6mg alt days
5084,10,,865
4812,10,,/day10
26211,10,,WBC 5.37
22315,10,,WBC 8.77
13465,10,,six months
29161,10,,E.U./dL
10325,10,,Sputum examination NOS
4879,10,,913
26218,10,,WBC 6.11
26813,10,,WBC 7.42
19083,10,,WBC 4.07
11891,10,,786
22294,10,,WBC 6.94
26845,10,,WBC 9.69
25215,10,,WBC 5.48
26466,10,,WBC 5.60
13361,10,,U/ year
25461,10,,WBC 5.80
26464,10,,WBC 5.29
2628,10,,2-3
5870,10,,Blood carbon monoxide level
26482,10,,WBC 7.19
2263,10,,(a) U/mL
14929,10,billion per liter,x10^9/l(5.9%)
6656,10,,/day roll ups
13909,10,,2-4 times per month
23818,10,,Peak flow percent
11325,10,,10g
2505,10,,7 days
7715,10,,10*3 IU/mL
8747,10,,Sample: organism isolated
9787,10,,yrs ago
5867,10,,Urine dipstick for blood
5047,10,,825
25340,10,,poor
25230,10,,WBC 6.95
26209,10,,WBC 5.23
14797,10,,week +1
29040,10,,TNP
2796,10,,mmol/sp
14117,10,,Sm antibody level
2006,10,,alt
10784,10,,Me&MyCOPD
14816,10,,WBC 6.20
16852,10,,Toxoplasma IgM antibody level
26812,10,,WBC 7.40
10403,10,,Urine oxalate
11253,10,,On scale of 1 to 5
4288,10,,6 month
16225,10,millimole per 24 hours,mmol/24 hr.
12085,10,,Sco
14147,10,,rollups/week
13934,10,,U/3 monthly
8684,10,billion per liter,10/9 l(86%)
9366,10,,beats
17340,10,,Iron absorption
22304,10,,WBC 7.76
2241,10,,mcg/1
6893,10,,897
12551,10,,pouch
6863,10,,873
3588,10,,(hh mm)
15041,10,billion per liter,x10^9/l(9.3%)
11883,10,,mPas at 25C.
5489,10,,819
1065,10,,Days off/month
7213,10,,mmopl/L
179,10,,mg/:
6916,10,,1039
11303,10,,o/week
8020,10,,(15-Wks)
14581,10,,pmol/8x10e8 RC
10866,10,,669
2636,10,,2 weekly
5272,10,,709
4208,10,,2 hour post-prand blood gluc
7003,10,,854
19927,10,,Days Since Last Visit
12435,10,,ddays
13013,10,,Creatinine clearance test
3091,10,percent,g%
6867,10,,989
20436,10,score,/31
22295,10,,WBC 7.06
9574,10,,WBC 8.58
8989,10,,6months
21055,10,,AstraZeneca
16339,10,,umol/coll.
13329,10,,umol/L(56-127)
5993,10,,(a)kU/L
6300,10,,out of 10
5397,10,,779
9936,10,,Serum paraprotein level
10763,10,,(2.0
17871,10,,standard
18412,10,,x 10/L
5448,10,,666
5339,10,,944
13546,10,percent,gm%
9568,10,,9/day
13567,10,,3months
5964,10,,Chlamydia antigen ELISA positive
4065,10,,10*8 iu/ml
26741,10,,WBC 6.19
6441,10,,cm2
6751,10,,4...
9508,10,,Not applicable
18858,10,,WBC 4.42
2399,10,billion per liter,1.x10^9/L
4533,10,,ug/24hr
10282,10,,every other month
15381,10,,time/day
26817,10,,WBC 7.74
6375,10,,1031
4241,10,,Udl
12584,10,,mL/min/sa
17173,10,,day +
8588,10,billion per liter,10/9 l(55)
9543,10,,attacks/6m
4408,10,,.7
24035,10,,exp = 215 - 435
8763,10,,2 week
3369,10,,pints a week
17357,10,,cop./ml
4324,10,,WBC 4.81
26815,10,,WBC 7.60
4769,10,,/every 2 weeks
10022,10,,20/25
9761,10,,ml/min normalized
10723,10,,20 day
6380,10,,686
9485,10,,30 U/week
9098,10,,830
25216,10,,WBC 5.76
462,10,,Urine urobilinogen test
9572,10,,WBC 8.20
11427,10,,No. weeks in last year
27519,10,,4...   Day
4968,10,,2021
1318,10,,4.9
26742,10,,WBC 6.25
16486,10,,international unit
12047,10,,/pack years
10664,10,,Rh negative Du positive
24199,10,,m/Pa?'s
26810,10,,WBC 7.25
20821,10,,WBC 7.11
3419,10,,Smokes
2390,10,,years.months
13054,10,,million ml
6644,10,,0.25
26467,10,,WBC 5.69
14826,10,billion per liter,x10^9/l(2.9%)
6879,10,,715
9063,10,,807
25236,10,,WBC 7.92
19084,10,,WBC 4.97
19005,10,,Req
13850,10,,U/mthly
18392,10,,sec/sec
5681,10,,I.V./ml
5274,10,,754
19070,10,,Hmg/L
7032,10,,924
2479,10,,12g/week
9083,10,,grams tobacco/week
14229,10,,ug.L
15046,10,billion per liter,x10^9/l(6.7%)
25458,10,,WBC 5.64
1565,10,,roll ups per week
5840,10,,Ear swab culture positive
10908,10,,730
4103,10,millimole per liter,mmols/litre
26818,10,,WBC 7.84
7774,10,,U/ 2 weeks
26481,10,,WBC 7.15
26497,10,,WBC 8.85
14154,10,,Fastin
962,10,,*10^5/ml
27758,10,,2023
5444,10,,999
4180,10,,GPCOG
26753,10,,WBC 5.16
4946,10,,1098
14893,10,billion per liter,x10^9/l(2.7%)
21808,10,,CPMS ID42053
20760,10,,mugs/day
6913,10,,799
25744,10,,WBC 7.16
11870,10,,18.5
5622,10,,849
4386,10,,.0
7835,10,,Sweat test
21160,10,,WBC 5.46
9075,10,,822
533,10,,Protein electrophor. abnormal
9924,10,,/per month
5389,10,,773
20886,10,,WBC 4.58
4808,10,,2.5
12396,10,,mnth
10187,10,,N Scale
12322,10,,deg F
7001,10,,umonth
21292,10,,WBC 7.61
11235,10,percent,`%
10467,10,,times/weeK 3
6616,10,,off past month
6965,10,,936
14788,10,,5/10
4101,10,,grm
23470,10,,1MG/1MG/2MG ALT
8790,10,,g/weekly
25727,10,,WBC 5.63
6426,10,,PUFFS/MONTH
19910,10,,WBC 6.85
26494,10,,WBC 8.49
15700,10,,xxxxxxx
8882,10,,g/3 weeks
7235,9,,H pg
12539,9,,daya
9089,9,,839
2583,9,billion per liter,x10^9/l(4.1%)
6949,9,,782
12337,9,heartbeat,70 beats/min
6633,9,,ng /l
4610,9,,umol/mol Cr.
26471,9,,WBC 6.32
6873,9,,988
15334,9,,mins/secs
9651,9,,Haemoglobin not estimated
4434,9,,Integer
2641,9,,ÃÂ°C
13735,9,,sd over 35yo
11390,9,,U/2months
11223,9,,U/L 25 oC
12865,9,,size in wks
2715,9,,l after 1 second
10898,9,,896
19036,9,,/gram week
26230,9,,WBC 7.26
1932,9,,WBC 4.64
8635,9,billion per liter,10/9 l(59)
8022,9,,years/old
8613,9,billion per liter,10/9 l(25)
6101,9,,Urine microscopy: crystals
7322,9,billion per liter,x10^9/l(4.5%)
9186,9,,every 3 months
10509,9,,Chr disease - drug resistance
22267,9,,Â£
7371,9,percent,%Nonprogressive
6493,9,,7.5
6943,9,,718
9704,9,,nmol/mmol(crea)
6526,9,,/cm
12056,9,,6.3
3326,9,,5 day
28537,9,,ug Hb/Faeces.
15869,9,,time collected
26477,9,,WBC 7.02
11007,9,,GLASS
3977,9,,20/week
11745,9,,times/qtr
2848,9,,mmol/mol(creat)
11250,9,,HZA115150
16557,9,,grams/wk.
7893,9,,mmo/mol
18499,9,percent,% Sluggish progressive
14642,9,percent,90%
3826,9,,seasonal
20654,9,,1-10 (10=worse possible)
18406,9,,SLA
7361,9,percent,%Sluggishprogressi
19961,9,,pmol/min/hr
551,9,,Serum pregnancy test NOS
6686,9,billion per liter,x10^9/l(9.6%)
11995,9,,mmol/lLO
16897,9,,Plasma factor VIII rel antigen
26489,9,,WBC 8.25
27069,9,,WBC 8.68
18487,9,billion per milliliter,*109/ml
5104,9,,1019
18568,9,,relatives
9619,9,,Plasma total protein S level
3804,9,,PHQ9 score(max27)
10786,9,,0-
26816,9,,WBC 7.67
18481,9,,WBC 9.88
26772,9,,WBC 7.07
6836,9,,971
4871,9,,tabs
18226,9,,HDL/CHOL
14773,9,,g per day
12456,9,,wweks
25449,9,,WBC 4.87
20001,9,,indefinte
5469,9,,704
6627,9,millimole per 24 hours,mmol/24hours
6641,9,,(TV. 2.00)
8625,9,billion per liter,10/9 l(37)
6315,9,,ug/Hb
2815,9,,1.0
10410,9,,Blood toxic substance levels
26724,9,,WBC 4.83
22298,9,,WBC 7.52
6961,9,,905
15131,9,,yearly.
13848,9,,pmol 6-TGN/8x10\S\8 cells
14616,9,,20 g/week
5658,9,,719
20261,9,,WBC 5.56
25496,9,,WBC 8.95
14207,9,,10/15
22132,9,,a  day
5839,9,,Urine catecholamine test
25459,9,,WBC 5.67
12886,9,,times/week1
26743,9,,WBC 6.39
6480,9,,7/7
6369,9,,ounces per week
21301,9,,WBC 5.01
12395,9,,hour+
12959,9,,>90
27064,9,,WBC 8.03
11023,9,,iiu
2760,9,percent,% (A+B>50%)
5314,9,,820
5566,9,,1233
8746,9,,24 hour urine protein output
3186,9,,ng.ml
9596,9,,e-GFR
7865,9,,3/3
12637,9,,dsays
26754,9,,WBC 5.17
7884,9,,15-20
26460,9,,WBC 4.74
2292,9,,(a) KU/L
25760,9,,WBC 8.79
15008,9,billion per liter,x10^9/l(70.4%)
13065,9,,12.3
3132,9,,miul/l
9007,9,,number procedures
23413,9,,1mg daily
17328,9,,mmg/L
13125,9,,g/2weeks
16597,9,,11-15 U/week
5388,9,,1150
12515,9,,daays
25747,9,,WBC 7.51
9793,9,,nM/l
3126,9,percent,96%
7011,9,,831
3599,9,,Sperm no./cc low: 10-30 mill.
9808,9,,g/year
9947,9,,cells/cu.mm
7137,9,percent,% sat Hb
12171,9,,cm#
9062,9,,691
23248,9,,cell/uL
8860,9,,ug/g st
19212,9,,micrograms/min
3347,9,,2/year
9545,9,,[MPL'U]/mL
12105,9,,Sc
22302,9,,WBC 7.69
9762,9,,U/week3
18681,9,,pg/ml:
16952,9,,WBC 7.53
12876,9,,uG(DHT)/dL
10333,9,,CSF pressure: raised
10752,9,,ays
7950,9,,a/month
27058,9,,WBC 7.12
20058,9,,time in service/wks
17332,9,,Urine iron
27035,9,,WBC 4.75
3989,9,,10*-10m
25607,9,,raised borderline
15187,9,,WBC 4.59
26498,9,,WBC 8.90
25226,9,,WBC 6.60
18498,9,percent,% Rapid progressive motility
5426,9,,845
13797,9,,12.1
14187,9,billion per liter,6.x10^9/L
9242,9,,5/12
25757,9,,WBC 8.53
10070,9,,grade 0-6
25450,9,,WBC 4.90
26245,9,,WBC 8.65
27030,9,,WBC 4.20
21728,9,,ug/Hbg
8615,9,billion per liter,10/9 l(41)
22933,9,,cPpm
7366,9,percent,%Non-motile
5580,9,,1010
19058,9,,1-7
6528,9,,every 6 months
13590,9,,l.l
6104,9,,Serum TSH level normal
7031,9,,774
24668,9,,/NA
17275,9,,Chemical function test NOS
20054,9,,/360
9659,9,,Urine urobilinogen
6622,9,,in past 6/12
8940,9,,1cm
26475,9,,WBC 6.71
14329,9,,T/N
18961,9,,mnol
11120,9,,mmols.
8789,9,,point(s)
2935,9,,x10*6
21084,9,,WBC 4.50
24076,9,,exp = 9.0 - 22.0
13406,9,,pregs
1878,9,,roll ups / day
13012,9,,Sperm: abnormal constituents
868,9,,everyday
26750,9,,WBC 4.88
10776,9,,(hpf)l/min
26205,9,,WBC 4.99
643,9,,"Swab - ENT, sent"
10308,9,,Vomit appearance
3117,9,,gmmol/
14700,9,,10 days
12025,9,,g/lHI
25212,9,,WBC 5.07
5973,9,,Bp Box Score
12212,9,,Para
10564,9,,U/moth
13338,9,,pos
27059,9,,WBC 7.29
18702,9,percent,% at 37C
6293,9,,X10.9 /L
25472,9,,WBC 6.69
13821,9,,6.5
26202,9,,WBC 4.73
5257,9,,763
8547,9,,years +
27056,9,,WBC 6.92
25756,9,,WBC 8.32
5396,9,,859
17228,9,,not sure
10515,9,,Pleural fluid examination
8878,9,,7day
14857,9,billion per liter,x10^9/l(5.8%)
23352,9,,Dose 2mg daily
19090,9,,WBC 7.20
26003,9,,WBC 4.53
13109,9,,12.7
25246,9,,WBC 8.74
11314,9,,micromole/millimole
25740,9,,WBC 6.70
3520,9,,RBC: rouleaux formation
21530,9,,/gms
8716,9,billion per liter,10/9 l(21)
22787,9,,AUDIT/40
5461,9,,965
8943,9,,bottle/day
3327,9,,ug/mmol(creat)
8814,9,,ug/L (ng/ml)
25446,9,,WBC 4.77
4254,9,,GUT swab NOS
26777,9,,WBC 7.44
13786,9,,mm in 1hour
3803,9,,CALLS/YEAR
4995,9,,796
13629,9,,mg per L
5554,9,,893
5048,9,,808
19880,9,,\meddata\s6000\document\Apollo\2012\10\Document 17
7694,9,,mq/l
8629,9,billion per liter,10/9 l(34)
9109,9,,757
6481,9,,units daily
27074,9,,WBC 9.08
1345,9,,umol zpp/molHeme
16695,9,,weekl
5172,9,,844
5785,9,,umol/mmol cr
3709,9,,Sputum examination: abnormal
2337,9,,mM/M Hb
18107,9,,km/m2
12548,9,,L cider/day
25366,9,,too high
5992,9,,FVC - forced vital capacity normal
19908,9,,WBC 5.25
11900,9,,760
25209,9,,WBC 4.98
6982,9,,835
18502,9,,Packs per year
20575,9,,mmol/mol Cr
6861,9,,858
8577,9,billion per liter,10/9 l(11)
8701,9,billion per liter,10/9 l(15)
17554,9,,roll ups a week
13849,9,,pmol 6MMPN/8x10\S\8 cells
22592,9,,WBC 8.24
8804,9,,LIU
12406,9,,moths
9328,9,heartbeat,abpm
12393,9,,weeki
12176,9,,L/week
22446,9,,ng/ml  FEU
13414,9,,asthma attack
26231,9,,WBC 7.34
555,9,,Faeces occult blood test
12357,9,,e
25603,9,,phoned
10041,9,,6.0
23986,9,,exp = 0.0 - 4.0
4790,9,,IGNORE
15583,9,,/6month
8597,9,billion per liter,10/9 l(72)
6994,9,,759
17176,9,,day's
23876,9,,days all together
12875,9,,mOsmol/K
15567,9,,1u/mL
7358,9,percent,%Rapidprogressive
26208,9,,WBC 5.12
13011,8,,18 U/week
519,8,,rollups per day
24208,8,millimole per liter,mmol/lt SECOND READING
522,8,,Helicobacter pylori antibody level
26203,8,,WBC 4.84
4576,8,,857
5990,8,,Forced vital capacity abnormal
10374,8,,Blood drug level NOS
6417,8,,mmol/specimen
2774,8,,g / week
11037,8,percent,lymph%
9721,8,,15g
11087,8,,c:hdl ratio
20935,8,,WBC 4.60
26843,8,,WBC 9.60
11466,8,,mg/g(wet wt)
22021,8,,kUA/1
5005,8,,1015
24827,8,,10*3uL
10303,8,,Urine free cortisol 24hr.assay
12187,8,,1/2
28491,8,,20/100
4437,8,,2 units
5125,8,,976
7914,8,,/year (hospital)
5838,8,,Varicella zoster IgM level
6697,8,billion per liter,x10^9/l(63.9%)
26233,8,,WBC 7.39
4759,8,,microgram/g fae
6350,8,,gr/dl
4061,8,,g/w
7799,8,,Tissue cytology abnormal
4898,8,,898
15904,8,,L D L
3062,8,,momol/l
12877,8,,Antibody Index
5289,8,,1013
8821,8,,llbs
9006,8,,10/week
26814,8,,WBC 7.49
17803,8,,times/a day
9276,8,,2g
25718,8,,WBC 4.94
20832,8,,st/lb
10278,8,,cig/d
23952,8,,4.0 - 6.3
11040,8,,42b2
20005,8,,ifcc units.
26472,8,,WBC 6.53
11642,8,,(0.1-5.0)
14691,8,,U/mounth
10249,8,,steps/day
26716,8,,WBC 4.18
25442,8,,WBC 4.48
5288,8,,767
11028,8,,10-15/day
12233,8,,pipes a day
3367,8,,IU/10*12 (RBC)
16558,8,,Giga/L
3843,8,,4times/week
2111,8,,/ 5 UL
6564,8,,Phase 2
22575,8,,>3  DO AUDIT C
10920,8,,690
11288,8,,/pack year
23391,8,,6MG/6MG/7MG ALT
25213,8,,WBC 5.20
6623,8,,0.8
24328,8,,g/sqcm
13860,8,,5 a day
13993,8,billion per liter,x10^9/l(10.6%)
15881,8,,mIU/L[0.3
5989,8,,Factor V Leiden genotypy
25490,8,,WBC 8.30
10456,8,,Urine drug level NOS
25987,8,,WBC 3.58
23345,8,,8mg/9mg alt days
4219,8,,Urine levels NOS
25249,8,,WBC 8.83
13871,8,,2weekly
15223,8,,bottles of wine
16954,8,,WBC 8.14
3163,8,,//
17471,8,,MIle
14817,8,,grams / week
5182,8,,823
12929,8,,(mIU/l)
11048,8,,6 MONTHLY
8780,8,,/57
9301,8,,Post 1st
14003,8,,mOsm/L
15907,8,,DRW Ratio
10247,8,,two months
9952,8,,times/week5
2443,8,,/3 monthly
25737,8,,WBC 6.46
24843,8,,mmol/24/hr
15028,8,billion per liter,x10^9/l(10.1%)
6603,8,,g/24hour
3915,8,,times/mth
13146,8,,gms/L
14706,8,,Glucose load test
15898,8,,uu
