numunitid,Description
7525,\meddata\s6000\document\Apollo\2008\JUL\SCAN8192.T
7526,\meddata\s6000\document\Apollo\2012\JUL\SCAN1110.T
7527,\meddata\s6000\document\Apollo\2008\JUL\SCAN8217.T
7528,\meddata\s6000\document\Apollo\2009\MAR\50276.TIF|
7529,\meddata\s6000\document\Apollo\2004\NOV\SCAN3642.T
7530,\meddata\s6000\document\Apollo\2012\JAN\SCAN7674.T
7531,\meddata\s6000\document\Apollo\2004\NOV\SCAN3660.T
7532,\meddata\s6000\document\Apollo\2012\JUL\MERG4108.T
7533,\meddata\s6000\document\Apollo\2010\AUG\54721.TIF|
7534,\meddata\s6000\document\Apollo\2005\JAN\SCAN4701.T
7535,\meddata\s6000\document\Apollo\2004\DEC\SCAN4337.T
7536,\meddata\s6000\document\Apollo\2008\JAN\MERG0930.T
7537,\meddata\s6000\document\Apollo\2012\APR\74738.TIF|
7538,\meddata\s6000\document\Apollo\2008\MAY\SCAN6729.T
7539,\meddata\s6000\document\Apollo\2010\JUL\54396.TIF|
7540,\meddata\s6000\document\Apollo\2009\JAN\SCAN2254.T
7541,\meddata\s6000\document\Apollo\2010\MAR\51136.TIF|
7542,\meddata\s6000\document\Apollo\2004\NOV\SCAN3799.T
7543,\meddata\s6000\document\Apollo\2009\AUG\45695.TIF|
7544,\meddata\s6000\document\Apollo\2008\NOV\SCAN0692.T
7545,\meddata\s6000\document\Apollo\2011\JAN\58844.TIF|
7546,\meddata\s6000\document\Apollo\2009\JUN\SCAN5542.T
7547,\meddata\s6000\document\Apollo\2008\APR\32797.TIF|
7548,\meddata\s6000\document\Apollo\2005\JUL\SCAN7878.T
7549,\meddata\s6000\document\Apollo\2009\JAN\MERG3014.T
7550,\meddata\s6000\document\Apollo\2008\MAY\SCAN6268.T
7551,\meddata\s6000\document\Apollo\2008\NOV\MERG2596.T
7552,\meddata\s6000\document\Apollo\2009\DEC\48840.TIF|
7553,\meddata\s6000\document\Apollo\2008\NOV\SCAN0969.T
7554,\meddata\s6000\document\Apollo\2011\FEB\59859.TIF|
7555,\meddata\s6000\document\Apollo\2009\FEB\SCAN3037.T
7556,\meddata\s6000\document\Apollo\2012\JAN\SCAN7142.T
7557,\meddata\s6000\document\Apollo\2004\SEP\MERG0353.T
7558,\meddata\s6000\document\Apollo\2006\MAY\MERG0407.T
7559,\meddata\s6000\document\Apollo\2010\NOV\57166.TIF|
7560,\meddata\s6000\document\Apollo\2009\MAY\MERG3807.T
7561,\meddata\s6000\document\Apollo\2007\OCT\SCAN2212.T
7562,\meddata\s6000\document\Apollo\2010\APR\52185.TIF|
7563,\meddata\s6000\document\Apollo\2012\SEP\SCAN2158.T
7564,\meddata\s6000\document\Apollo\2009\DEC\48222.TIF|
7565,\meddata\s6000\document\Apollo\2004\DEC\SCAN4117.T
7566,\meddata\s6000\document\Apollo\2009\FEB\40530.TIF|
7567,\meddata\s6000\document\Apollo\2009\NOV\47346.TIF|
7568,\meddata\s6000\document\Apollo\2011\JAN\59272.TIF|
7569,\meddata\s6000\document\Apollo\2008\SEP\MERG2242.T
7570,\meddata\s6000\document\Apollo\2004\SEP\MERG0400.T
7571,\meddata\s6000\document\Apollo\2012\JUL\MERG4012.T
7572,\meddata\s6000\document\Apollo\2012\JAN\72740.TIF|
7573,\meddata\s6000\document\Apollo\2005\APR\MERG1047.T
7574,\meddata\s6000\document\Apollo\2005\JAN\SCAN4702.T
7575,\meddata\s6000\document\Apollo\2009\AUG\MERG4625.T
7576,\meddata\s6000\document\Apollo\2012\AUG\SCAN1817.T
7577,\meddata\s6000\document\Apollo\2012\JAN\72715.TIF|
7578,\meddata\s6000\document\Apollo\2012\JUL\SCAN1092.T
7579,\meddata\s6000\document\Apollo\2012\FEB\SCAN7674.T
7580,\meddata\s6000\document\Apollo\2009\APR\42463.TIF|
7581,\meddata\s6000\document\Apollo\2009\JAN\39137.TIF|
7582,\meddata\s6000\document\Apollo\2008\AUG\35252.TIF|
7583,\meddata\s6000\document\Apollo\2012\OCT\SCAN3007.T
7584,\meddata\s6000\document\Apollo\2012\OCT\81142.TIF|
7585,\meddata\s6000\document\Apollo\2010\JAN\49373.TIF|
7586,\meddata\s6000\document\Apollo\2004\NOV\SCAN3635.T
7587,\meddata\s6000\document\Apollo\2008\JAN\30270.TIF|
7588,\meddata\s6000\document\Apollo\2005\FEB\SCAN5426.T
7589,\meddata\s6000\document\Apollo\2004\SEP\SCAN2628.T
7590,\meddata\s6000\document\Apollo\2011\MAR\60327.TIF|
7591,\meddata\s6000\document\Apollo\2010\JUL\54446.TIF|
7592,\meddata\s6000\document\Apollo\2011\AUG\65342.TIF|
7593,\meddata\s6000\document\Apollo\2006\MAR\SCAN2646.T
7594,\meddata\s6000\document\Apollo\2005\JAN\SCAN4850.T
7595,\meddata\s6000\document\Apollo\2010\NOV\57538.TIF|
7596,\meddata\s6000\document\Apollo\2004\NOV\SCAN3812.T
7597,\meddata\s6000\document\Apollo\2009\SEP\SCAN8028.T
7598,\meddata\s6000\document\Apollo\2007\JUL\SCAN0120.T
7599,\meddata\s6000\document\Apollo\2012\JUN\76657.TIF|
7600,\meddata\s6000\document\Apollo\2011\FEB\59981.TIF|
7601,\meddata\s6000\document\Apollo\2011\OCT\67219.TIF|
7602,\meddata\s6000\document\Apollo\2008\JUL\SCAN8182.T
7603,\meddata\s6000\document\Apollo\2009\JUL\SCAN6491.T
7604,\meddata\s6000\document\Apollo\2008\APR\SCAN5577.T
7605,\meddata\s6000\document\Apollo\2010\JUL\53777.TIF|
7606,\meddata\s6000\document\Apollo\2005\JAN\SCAN4690.T
7607,\meddata\s6000\document\Apollo\2004\SEP\SCAN2630.T
7608,\meddata\s6000\document\Apollo\2010\JAN\49123.TIF|
7609,\meddata\s6000\document\Apollo\2009\JUN\MERG4008.T
7610,\meddata\s6000\document\Apollo\2012\AUG\SCAN1491.T
7611,\meddata\s6000\document\Apollo\2009\AUG\SCAN7291.T
7612,\meddata\s6000\document\Apollo\2012\JAN\MERG2183.T
7613,\meddata\s6000\document\Apollo\2005\FEB\SCAN5419.T
7614,\meddata\s6000\document\Apollo\2005\DEC\SCAN0698.T
7615,\meddata\s6000\document\Apollo\2008\JUN\MERG1828.T
7616,\meddata\s6000\document\Apollo\2012\MAR\SCAN8395.T
7617,\meddata\s6000\document\Apollo\2009\SEP\SCAN8021.T
7618,\meddata\s6000\document\Apollo\2011\JUN\63529.TIF|
7619,\meddata\s6000\document\Apollo\2009\JUN\43363.TIF|
7620,\meddata\s6000\document\Apollo\2012\SEP\79409.TIF|
7621,\meddata\s6000\document\Apollo\2011\OCT\66525.TIF|
7622,\meddata\s6000\document\Apollo\2006\MAY\SCAN2084.T
7623,\meddata\s6000\document\Apollo\2012\OCT\79983.TIF|
7624,\meddata\s6000\document\Apollo\2010\JUL\54208.TIF|
7625,\meddata\s6000\document\Apollo\2005\FEB\SCAN5412.T
7626,\meddata\s6000\document\Apollo\2004\NOV\SCAN3643.T
7627,\meddata\s6000\document\Apollo\2010\JAN\49265.TIF|
7628,\meddata\s6000\document\Apollo\2008\JUN\SCAN7462.T
7629,\meddata\s6000\document\Apollo\2008\JUN\SCAN7551.T
7630,\meddata\s6000\document\Apollo\2008\FEB\SCAN4400.T
7631,\meddata\s6000\document\Apollo\2004\NOV\SCAN3792.T
7632,\meddata\s6000\document\Apollo\2010\DEC\58626.TIF|
7633,\meddata\s6000\document\Apollo\2008\JAN\MERG1027.T
7634,\meddata\s6000\document\Apollo\2012\NOV\81180.TIF|
7635,\meddata\s6000\document\Apollo\2008\JUN\MERG1824.T
7636,\meddata\s6000\document\Apollo\2004\NOV\SCAN3636.T
7637,\meddata\s6000\document\Apollo\2004\JUN\756.TIF|75
7638,\meddata\s6000\document\Apollo\2006\AUG\MERG0750.T
7639,\meddata\s6000\document\Apollo\2012\SEP\79168.TIF|
7640,\meddata\s6000\document\Apollo\2004\SEP\SCAN2614.T
7641,\meddata\s6000\document\Apollo\2012\JAN\SCAN7002.T
7642,\meddata\s6000\document\Apollo\2005\APR\SCAN6607.T
7643,\meddata\s6000\document\Apollo\2010\MAY\52592.TIF|
7644,\meddata\s6000\document\Apollo\2012\JAN\72166.TIF|
7645,\meddata\s6000\document\Apollo\2007\JUL\SCAN0234.T
7646,\meddata\s6000\document\Apollo\2008\AUG\MERG2202.T
7647,\meddata\s6000\document\Apollo\2010\SEP\55839.TIF|
7648,\meddata\s6000\document\Apollo\2009\MAY\MERG3720.T
7649,\meddata\s6000\document\Apollo\2008\JUL\SCAN8163.T
7650,\meddata\s6000\document\Apollo\2004\MAY\391.TIF|39
7651,\meddata\s6000\document\Apollo\2009\JUN\43355.TIF|
7652,\meddata\s6000\document\Apollo\2012\FEB\73315.TIF|
7653,\meddata\s6000\document\Apollo\2012\MAY\75619.TIF|
7654,\meddata\s6000\document\Apollo\2004\MAY\389.TIF|38
7655,\meddata\s6000\document\Apollo\2010\AUG\55295.TIF|
7656,\meddata\s6000\document\Apollo\2011\MAY\62153.TIF|
7657,\meddata\s6000\document\Apollo\2008\FEB\SCAN4678.T
7658,\meddata\s6000\document\Apollo\2012\NOV\81270.TIF|
7659,\meddata\s6000\document\Apollo\2011\NOV\67698.TIF|
7660,\meddata\s6000\document\Apollo\2012\APR\SCAN8866.T
7661,\meddata\s6000\document\Apollo\2010\JUN\53847.TIF|
7662,\meddata\s6000\document\Apollo\2012\AUG\SCAN1978.T
7663,\meddata\s6000\document\Apollo\2012\NOV\81262.TIF|
7664,\meddata\s6000\document\Apollo\2011\DEC\71580.TIF|
7665,\meddata\s6000\document\Apollo\2011\OCT\SCAN4982.T
7666,\meddata\s6000\document\Apollo\2010\AUG\55293.TIF|
7667,\meddata\s6000\document\Apollo\2009\APR\SCAN4222.T
7668,\meddata\s6000\document\Apollo\2009\NOV\47593.TIF|
7669,\meddata\s6000\document\Apollo\2005\FEB\MERG0920.T
7670,\meddata\s6000\document\Apollo\2008\MAY\SCAN6814.T
7671,\meddata\s6000\document\Apollo\2012\FEB\73722.TIF|
7672,\meddata\s6000\document\Apollo\2004\NOV\SCAN3657.T
7673,\meddata\s6000\document\Apollo\2008\FEB\MERG1149.T
7674,\meddata\s6000\document\Apollo\2009\AUG\SCAN6762.T
7675,\meddata\s6000\document\Apollo\2004\SEP\SCAN2616.T
7676,\meddata\s6000\document\Apollo\2009\NOV\SCAN9148.T
7677,\meddata\s6000\document\Apollo\2009\DEC\48705.TIF|
7678,\meddata\s6000\document\Apollo\2011\OCT\67316.TIF|
7679,\meddata\s6000\document\Apollo\2004\NOV\MERG0623.T
7680,\meddata\s6000\document\Apollo\2010\JUN\53370.TIF|
7681,\meddata\s6000\document\Apollo\2004\SEP\SCAN2629.T
7682,\meddata\s6000\document\Apollo\2008\NOV\SCAN0945.T
7683,\meddata\s6000\document\Apollo\2009\DEC\SCAN9548.T
7684,\meddata\s6000\document\Apollo\2012\JAN\75398.TIF|
7685,\meddata\s6000\document\Apollo\2006\MAY\SCAN2225.T
7686,\meddata\s6000\document\Apollo\2010\APR\52063.TIF|
7687,\meddata\s6000\document\Apollo\2010\APR\51567.TIF|
7688,\meddata\s6000\document\Apollo\2009\APR\41962.TIF|
7689,Floz
7690,24 A WEEK
7691,SEIZURES
7692,anx. score
7693,8th feb
7694,mq/l
7695,U/weekends
7696,200l/min
7697,mls daily
7698,10 PER DAY
7699,28g/week
7700,Dep. score
7701,13.9
7702,x10^9/l(35.2%)
7703,x10^9/l(53.4%)
7704,x10^9/l(9.9%)
7705,25gram/week
7706,% over ten years
7707,g/week 0.50
7708,Mean platelet volume
7709,Risk: one in...
7710,Target Ratio
7711,100grams per week
7712,/y
7713,50g
7714,mm.Hg.
7715,10*3 IU/mL
7716,7 / day
7717,", 5 = irregular"
7718,Blood chemistry - general NOS
7719,15g/week
7720,years@20/d
7721,May-28
7722,1 on special occassi
7723,05-May
7724,This patient MAY hav
7725,/110
7726,smoked/day
7727,bottle whisky weekly
7728,6mths
7729,cans per week
7730,(l/min)
7731,10 hours
7732,1 / month
7733,pM/m/h
7734,/m*3
7735,7-10 cigarettes / da
7736,60 per week
7737,ug/l147
7738,"mmol/L 5,4"
7739,% of pred
7740,Urine blood test not done
7741,bpml
7742,Lipoprotein electroph. normal
7743,pg/ml.
7744,4oz
7745,Ecig/day
7746,x10 ^9/L
7747,qty
7748,yds
7749,ml (1mg/1ml)
7750,roll ups/days
7751,umol/24 h
7752,x10^6/microlitre
7753,4/week
7754,15 minute sessions
7755,0.5g/week
7756,5.4
7757,Grade 0-6 (0=
7758,.>
7759,DOSE/WEEK
7760,GRADE 0-6 (0=N
7761,Cigarettes/Day/Past
7762,glasses/week
7763,25grams a week
7764,oz a week
7765,ounces a week
7766,Feb-16
7767,Aug-16
7768,Jun-16
7769,x10^9/l(10.2%)
7770,7g/week
7771,mmol/l [F]
7772,breaths/minute
7773,17/day
7774,U/ 2 weeks
7775,% on 3L O2
7776,milliunit/L
7777,percent (spO2)
7778,u/2 weeks
7779,pmmol/L
7780,qmol/L
7781,parts/million
7782,x10^9/l(1.0%)
7783,packs a week
7784,/weejk
7785,Jul-16
7786,4U/week
7787,x10^9/l(58.3%)
7788,U/3weeks
7789,mL/min/1.73*m2
7790,CSF: microorganisms
7791,CSF: glucose level
7792,1-5 roll-ups/day
7793,Sample culture
7794,Gastrointestinal hormones
7795,Faeces examination - colour
7796,5day
7797,Faeces: foreign constituents
7798,Semen pH
7799,Tissue cytology abnormal
7800,Haematology test not needed
7801,Urine specific gravity
7802,Digestive function tests
7803,no. of weeks
7804,36 + 1
7805,O/E - height 10-20% < average
7806,10 cigarettes/day
7807,RBC count NOS
7808,HDL : LDL ratio
7809,Beta2 usage/day
7810,Haematology - general
7811,Mean cell haemoglobin
7812,O/E -height > 20% over average
7813,CSF examination - general
7814,HTLV-3 antibody positive
7815,quarter
7816,Urine sample for organism NOS
7817,Urine micr.: bacteria present
7818,times/month or less
7819,Cx. smear: repeat 9 months
7820,Cerebro-spinal fluid exam.
7821,#Â¿#Â¿#Â¿HWB
7822,NMOL/24
7823,mls/24hrs
7824,X 1/L (
7825,ARTESiA
7826,7 ounces per day
7827,IU/
7828,X 109L
7829,/ 24
7830,11-26U
7831,Faeces: pancreatic effects
7832,Salmonella agglut test
7833,Urine ketone test = ++++
7834,O/E - obese
7835,Sweat test
7836,CSF electrophoresis
7837,Faecal sample for C/S
7838,Salicylate: blood level
7839,Post mortem exam.
7840,Sterile pyuria
7841,Haemospermia O/E
7842,Dysplasia (dysk.)on cerv.smear
7843,mmol /L
7844,RBCs- red blood cells in urine
7845,Aids antibody test
7846,Herpes: cervical smear
7847,Australia antigen - SH
7848,Lithium level high - toxic
7849,Sugar - urine test
7850,Rose Waaler test
7851,0/9
7852,Blood in urine test
7853,100/100
7854,Oct-16
7855,53/100
7856,Feb-16
7857,2017
7858,O3/2017
7859,2015
7860,Mar-17
7861,2016 / 2017
7862,Jul-16
7863,{seizures}
7864,0/100
7865,03-Mar
7866,2016 JANUARY
7867,2016/year
7868,/day20
7869,Sep-16
7870,/2016
7871,01-Mar
7872,70/100
7873,mols/min
7874,Batch no
7875,1 Minimal
7876,2 per day
7877,hhh
7878,mg/col'n
7879,units?
7880,mg/m
7881,mmol/col''n
7882,nmol/Col'n
7883,Trepon pallidum haemaglut test
7884,15-20
7885,1u
7886,every 2 months
7887,occasionally 1-2
7888,10**/L
7889,wer
7890,times/per month
7891,U/week -not ticked
7892,x10^9/L123
7893,mmo/mol
7894,ml/UL
7895,nmol/h/mL
7896,3.5
7897,60 year
7898,nmol/litre
7899,80beats/min
7900,Ã¦mol/100g
7901,roll-ups/d
7902,roll ups /per week
7903,Â£/daily
7904,2.5/3.5
7905,roll-up/d
7906,.OU
7907,mmmol/mol
7908,degrees fahrenheit
7909,2weeks
7910,/3years
7911,u/mon
7912,sometimes
7913,L/mn
7914,/year (hospital)
7915,p/d
7916,mmol/lge
7917,5.50%
7918,DDPP
7919,cigaretts
7920,pack/day
7921,mls/week
7922,hg
7923,inserted
7924,packets/ year
7925,Pints of beer
7926,4-6 a day
7927,2018
7928,ug/I
7929,mmom/mol
7930,40g
7931,O/E: stained micr.: parasite
7932,Glucose Level(m.mol/L)
7933,Total Cholesterol (m.mol/L)
7934,Week 1
7935,Serum noradrenaline level
7936,Urine 5-OH indole acetic acid
7937,Urine HVA
7938,med. risk
7939,x10~6/ml
7940,u/amonth
7941,x10^9/l(50.3%)
7942,x10^9/l(4.6%)
7943,x10^9/l(3.1%)
7944,x10^9/l(37.4%)
7945,micrmol/l
7946,x10^9/l(74.3%)
7947,aweek
7948,mPA@25C.
7949,x10^9/l(17.2%)
7950,a/month
7951,pmol/mLh
7952,1 bottle
7953,Every
7954,grams/daily
7955,ocassionally
7956,score/21
7957,mcgms/l
7958,/bpm
7959,Chr.dis.-treatment started
7960,Plasma proteins normal
7961,mm01/mol
7962,times/day at work
7963,not done
7964,rolls a week
7965,note done
7966,1 / day
7967,/1m
7968,2cm
7969,"cm,"
7970,(NAP Score)
7971,6 U/week
7972,pmol/8x10*8
7973,g/mmol Creat
7974,g/mmol Creat.
7975,'/40 WEEKS
7976,0-4
7977,3cm
7978,{cylinders}
7979,nmol/g/dry wt
7980,102/74
7981,iu/10*12 Rbc
7982,IU.l
7983,\meddata\s6000\document\Apollo\2011\JUN\SCAN5956.T
7984,hrs per week
7985,{units}/mL
7986,at weekend
7987,g/2 weeks
7988,147g/week
7989,appt ratio
7990,MONTLHY OR LESS
7991,g/10 days
7992,1-gd 2-mod 3-bad
7993,day pepr week
7994,pmo 1/1
7995,LSM Risk Score
7996,g/fortnightly
7997,g/per 2 days
7998,pack/year
7999,accupuncture 1=gd 5-no effect
8000,per 2 days
8001,g/3 days
8002,UP SLIGHTL
8003,CONFIRMS O
8004,g/ every 2 days
8005,g/kg/d
8006,% in 10years
8007,Cans/week
8008,1 Elia kU/L
8009,mg/kg stool
8010,Less than U/week
8011,0.89
8012,8 years ago
8013,2-3 TIMES A WEEK
8014,20-30
8015,do not know
8016,/ 10
8017,oz/weeks
8018,HADs dep
8019,local value
8020,(15-Wks)
8021,7 /day
8022,years/old
8023,at 17 Wks
8024,cm[H2O]
8025,10/
8026,CONDOM[S]
8027,20 a week.
8028,nmol/L.
8029,25 per day
8030,!
8031,"not every day,"
8032,mmo./
8033,1 oz a week
8034,umol/col?'n
8035,nmol/Col?'n
8036,mg/Vapor liquid/ day
8037,Cardiac enzymes normal
8038,cls/uL
8039,\meddata\s6000\document\Apollo\2007\MAY\51012.TIF|
8040,\meddata\s6000\document\Apollo\2012\FEB\177883.TIF
8041,\meddata\s6000\document\Apollo\2012\MAY\186936.TIF
8042,\meddata\s6000\document\Apollo\2009\SEP\111304.TIF
8043,\meddata\s6000\document\Apollo\2011\SEP\165956.TIF
8044,\meddata\s6000\document\Apollo\2008\DEC\91203.TIF|
8045,\meddata\s6000\document\Apollo\2007\DEC\65712.TIF|
8046,\meddata\s6000\document\Apollo\2011\JUN\159624.TIF
8047,\meddata\s6000\document\Apollo\2009\JUL\106789.TIF
8048,\meddata\s6000\document\Apollo\2008\AUG\82853.TIF|
8049,\meddata\s6000\document\Apollo\2012\MAR\181899.TIF
8050,\meddata\s6000\document\Apollo\2009\FEB\MERG1741.T
8051,\meddata\s6000\document\Apollo\2011\SEP\167297.TIF
8052,\meddata\s6000\document\Apollo\2009\DEC\116622.TIF
8053,\meddata\s6000\document\Apollo\2009\NOV\114615.TIF
8054,\meddata\s6000\document\Apollo\2011\FEB\149093.TIF
8055,\meddata\s6000\document\Apollo\2011\MAR\152240.TIF
8056,\meddata\s6000\document\Apollo\2011\SEP\165665.TIF
8057,\meddata\s6000\document\Apollo\2012\12\Document 20
8058,\meddata\s6000\document\Apollo\2008\NOV\MERG9370.T
8059,\meddata\s6000\document\Apollo\2009\JUN\103098.TIF
8060,\meddata\s6000\document\Apollo\2005\NOV\10898.TIF|
8061,\meddata\s6000\document\Apollo\2011\JUL\161467.TIF
8062,\meddata\s6000\document\Apollo\2011\OCT\168648.TIF
8063,\meddata\s6000\document\Apollo\2011\AUG\163667.TIF
8064,\meddata\s6000\document\Apollo\2010\APR\127043.TIF
8065,\meddata\s6000\document\Apollo\2009\FEB\SCAN1512.T
8066,\meddata\s6000\document\Apollo\2009\JUL\105852.TIF
8067,\meddata\s6000\document\Apollo\2011\SEP\165961.TIF
8068,\meddata\s6000\document\Apollo\2006\JAN\17058.TIF|
8069,\meddata\s6000\document\Apollo\2010\JUL\132284.TIF
8070,\meddata\s6000\document\Apollo\2010\APR\126635.TIF
8071,\meddata\s6000\document\Apollo\2012\FEB\177578.TIF
8072,\meddata\s6000\document\Apollo\2009\JUL\107160.TIF
8073,\meddata\s6000\document\Apollo\2009\OCT\112126.TIF
8074,\meddata\s6000\document\Apollo\2011\APR\153701.TIF
8075,\meddata\s6000\document\Apollo\2010\OCT\140766.TIF
8076,\meddata\s6000\document\Apollo\2011\JUN\158204.TIF
8077,\meddata\s6000\document\Apollo\2008\APR\73913.TIF|
8078,\meddata\s6000\document\Apollo\2009\SEP\111355.TIF
8079,\meddata\s6000\document\Apollo\2013\6\Document 221
8080,\meddata\s6000\document\Apollo\2009\JUL\107001.TIF
8081,\meddata\s6000\document\Apollo\2009\APR\99821.TIF|
8082,\meddata\s6000\document\Apollo\2011\JAN\147236.TIF
8083,\meddata\s6000\document\Apollo\2008\AUG\MERG7658.T
8084,\meddata\s6000\document\Apollo\2011\DEC\173944.TIF
8085,\meddata\s6000\document\Apollo\2010\MAY\128269.TIF
8086,\meddata\s6000\document\Apollo\2011\NOV\171130.TIF
8087,\meddata\s6000\document\Apollo\2012\MAY\186161.TIF
8088,\meddata\s6000\document\Apollo\2011\SEP\165632.TIF
8089,\meddata\s6000\document\Apollo\2010\OCT\139327.TIF
8090,\meddata\s6000\document\Apollo\2010\MAY\128696.TIF
8091,\meddata\s6000\document\Apollo\2012\FEB\178306.TIF
8092,\meddata\s6000\document\Apollo\2010\MAY\128776.TIF
8093,\meddata\s6000\document\Apollo\2011\FEB\149732.TIF
8094,\meddata\s6000\document\Apollo\2007\NOV\63474.TIF|
8095,\meddata\s6000\document\Apollo\2009\SEP\110877.TIF
8096,\meddata\s6000\document\Apollo\2011\MAR\152462.TIF
8097,\meddata\s6000\document\Apollo\2009\SEP\110916.TIF
8098,\meddata\s6000\document\Apollo\2011\MAY\156576.TIF
8099,\meddata\s6000\document\Apollo\2008\SEP\84382.TIF|
8100,\meddata\s6000\document\Apollo\2012\MAY\185923.TIF
8101,\meddata\s6000\document\Apollo\2012\JUN\189217.TIF
8102,\meddata\s6000\document\Apollo\2008\SEP\84675.TIF|
8103,\meddata\s6000\document\Apollo\2009\JAN\93550.TIF|
8104,\meddata\s6000\document\Apollo\2011\SEP\165951.TIF
8105,\meddata\s6000\document\Apollo\2010\DEC\144780.TIF
8106,\meddata\s6000\document\Apollo\2009\OCT\112145.TIF
8107,\meddata\s6000\document\Apollo\2008\DEC\90427.TIF|
8108,\meddata\s6000\document\Apollo\2012\10\Document 19
8109,\meddata\s6000\document\Apollo\2011\DEC\173390.TIF
8110,\meddata\s6000\document\Apollo\2012\JAN\176282.TIF
8111,\meddata\s6000\document\Apollo\2007\OCT\61908.TIF|
8112,\meddata\s6000\document\Apollo\2011\AUG\163722.TIF
8113,\meddata\s6000\document\Apollo\2011\MAY\157011.TIF
8114,\meddata\s6000\document\Apollo\2009\APR\100134.TIF
8115,\meddata\s6000\document\Apollo\2009\AUG\108397.TIF
8116,\meddata\s6000\document\Apollo\2006\MAY\24533.TIF|
8117,\meddata\s6000\document\Apollo\2006\JUL\29619.TIF|
8118,\meddata\s6000\document\Apollo\2007\FEB\SCAN9813.T
8119,\meddata\s6000\document\Apollo\2013\1\Document 206
8120,\meddata\s6000\document\Apollo\2011\NOV\170852.TIF
8121,\meddata\s6000\document\Apollo\2010\MAR\122823.TIF
8122,\meddata\s6000\document\Apollo\2008\MAR\71368.TIF|
8123,\meddata\s6000\document\Apollo\2009\DEC\116516.TIF
8124,\meddata\s6000\document\Apollo\2012\9\Document 195
8125,\meddata\s6000\document\Apollo\2011\JUL\161537.TIF
8126,\meddata\s6000\document\Apollo\2013\3\Document 214
8127,\meddata\s6000\document\Apollo\2011\JUL\162320.TIF
8128,\meddata\s6000\document\Apollo\2013\4\Document 216
8129,\meddata\s6000\document\Apollo\2011\DEC\174258.TIF
8130,\meddata\s6000\document\Apollo\2011\JUN\160001.TIF
8131,\meddata\s6000\document\Apollo\2005\JUN\501.TIF|50
8132,\meddata\s6000\document\Apollo\2012\MAR\MERG3931.T
8133,\meddata\s6000\document\Apollo\2012\MAR\181048.TIF
8134,\meddata\s6000\document\Apollo\2008\NOV\SCAN2300.T
8135,\meddata\s6000\document\Apollo\2008\SEP\MERG8151.T
8136,\meddata\s6000\document\Apollo\2012\FEB\177835.TIF
8137,\meddata\s6000\document\Apollo\2012\JUL\191837.TIF
8138,\meddata\s6000\document\Apollo\2009\NOV\115046.TIF
8139,\meddata\s6000\document\Apollo\2008\NOV\88335.TIF|
8140,\meddata\s6000\document\Apollo\2012\JUN\189235.TIF
8141,\meddata\s6000\document\Apollo\2009\DEC\117715.TIF
8142,\meddata\s6000\document\Apollo\2009\JUN\103625.TIF
8143,\meddata\s6000\document\Apollo\2009\JUN\103099.TIF
8144,\meddata\s6000\document\Apollo\2011\JUL\MERG5212.T
8145,\meddata\s6000\document\Apollo\2011\OCT\168419.TIF
8146,\meddata\s6000\document\Apollo\2011\DEC\172692.TIF
8147,\meddata\s6000\document\Apollo\2011\SEP\165786.TIF
8148,\meddata\s6000\document\Apollo\2012\FEB\177878.TIF
8149,\meddata\s6000\document\Apollo\2012\APR\184187.TIF
8150,\meddata\s6000\document\Apollo\2011\AUG\163502.TIF
8151,\meddata\s6000\document\Apollo\2009\JUL\106387.TIF
8152,\meddata\s6000\document\Apollo\2009\MAY\102136.TIF
8153,\meddata\s6000\document\Apollo\2010\AUG\136789.TIF
8154,\meddata\s6000\document\Apollo\2012\JUL\191023.TIF
8155,\meddata\s6000\document\Apollo\2008\SEP\83929.TIF|
8156,\meddata\s6000\document\Apollo\2008\AUG\81294.TIF|
8157,\meddata\s6000\document\Apollo\2010\FEB\122511.TIF
8158,several times a day
8159,\meddata\s6000\document\Apollo\2005\JUN\210.TIF|21
8160,\meddata\s6000\document\Apollo\2008\SEP\84206.TIF|
8161,\meddata\s6000\document\Apollo\2007\JUL\55415.TIF|
8162,\meddata\s6000\document\Apollo\2011\JUN\158459.TIF
8163,\meddata\s6000\document\Apollo\2009\NOV\113908.TIF
8164,\meddata\s6000\document\Apollo\2012\MAY\185135.TIF
8165,\meddata\s6000\document\Apollo\2009\JUL\106491.TIF
8166,\meddata\s6000\document\Apollo\2011\DEC\172595.TIF
8167,\meddata\s6000\document\Apollo\2010\JUL\133350.TIF
8168,\meddata\s6000\document\Apollo\2007\FEB\44363.TIF|
8169,\meddata\s6000\document\Apollo\2010\MAY\129632.TIF
8170,\meddata\s6000\document\Apollo\2005\DEC\13959.TIF|
8171,\meddata\s6000\document\Apollo\2005\MAY\38.TIF|38.
8172,\meddata\s6000\document\Apollo\2013\5\Document 219
8173,\meddata\s6000\document\Apollo\2011\AUG\163317.TIF
8174,\meddata\s6000\document\Apollo\2010\MAR\122960.TIF
8175,\meddata\s6000\document\Apollo\2010\JUN\131365.TIF
8176,\meddata\s6000\document\Apollo\2010\MAR\124088.TIF
8177,\meddata\s6000\document\Apollo\2012\FEB\177783.TIF
8178,\meddata\s6000\document\Apollo\2010\MAR\124226.TIF
8179,\meddata\s6000\document\Apollo\2011\AUG\164583.TIF
8180,\meddata\s6000\document\Apollo\2009\OCT\112206.TIF
