,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,,Notes
106,84.92,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-0277,Bachue,3-37-0277,Racafe & Cia S.C.A,,Huila,La Plata,243,70 kg,Almacafé,2016,"November 25th, 2016",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.92,7.92,7.67,7.83,7.92,7.83,Sample,10,10,10,7.83,Sample  84.92,,0%,1 full defects,6,,2 full defects,,"November 25th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
107,84.92,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-4824,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,252,70 kg,Almacafé,2015,"October 26th, 2015",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.92,7.83,7.75,7.83,7.75,8,Sample,10,10,10,7.83,Sample  84.92,,12%,0 full defects,0,Green,1 full defects,,"October 25th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
108,84.92,,,,,,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,Baishengcun Coffee 百勝村咖啡莊園,,Baishengcun Coffee 百勝村咖啡莊園,Taiwan,Taiwan Coffee Laboratory,800 M,"Guoxing Township, Nantou County 南投縣國姓鄉",SU CHUEN SHIAN 蘇春賢,20,40 kg,Specialty Coffee Association,2015,"June 9th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Completed,Semi-washed / Semi-pulped,Sample,7.67,7.83,8,7.58,8,7.92,Sample,10,10,10,7.92,Sample  84.92,,11%,0 full defects,0,Green,0 full defects,,"June 8th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
109,84.92,,,,,,Arabica,Taylor Winch (T) Ltd,"Tanzania, United Republic Of",Hasambo AMCOS,,Taylor Winch (T) Ltd,C47,Taylor Winch(T) Ltd,1620M,Mbeya,Hasambo AMCOS,134,60 kg,Africa Fine Coffee Association,2014,"December 12th, 2014",Taylor Winch (T) Ltd,Other,Completed,Washed / Wet,Sample,8,7.83,7.83,7.92,7.75,7.75,Sample,10,10,10,7.83,Sample  84.92,,12%,0 full defects,0,Green,2 full defects,,"December 12th, 2015",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,
110,84.92,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-0416,Racafe & Cia S.C.A,De 1600 a 1950 msnm,HUILA,LA PLATA,50,70 kg,Almacafé,2012,"December 11th, 2012",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.75,7.92,7.83,7.75,7.75,8,Sample,10,10,10,7.92,Sample  84.92,,11%,0 full defects,0,Green,3 full defects,,"December 11th, 2013",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
111,84.92,,,,,,Arabica,ARTEMIO ZAPATA TEJEDA,Mexico,EL SUSPIRO,,PACHO VIEJO,1104385872,,1200,COATEPEC,ARTEMIO ZAPATA TEJEDA,25,1 kg,AMECAFE,2012,"July 11th, 2012",ARTEMIO ZAPATA TEJEDA,Typica,Completed,Semi-washed / Semi-pulped,Sample,7.75,8,7.75,7.83,7.5,7.92,Sample,10,10,10,8.17,Sample  84.92,,11%,0 full defects,0,,0 full defects,,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,
112,84.92,,,,,,Arabica,NUCOFFEE,Brazil,Fazenda Grota Funda,,,002/1251/0070,NUCOFFEE,1200m,South of Minas Gerais,Glaucio Carneiro Pinto,4,60 kg,NUCOFFEE,2011,"December 23rd, 2011",NUCOFFEE,Bourbon,Completed,Natural / Dry,Sample,8,7.92,7.75,7.75,8,7.75,Sample,10,10,10,7.75,Sample  84.92,,11%,0 full defects,0,Green,2 full defects,,"December 22nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,
113,84.92,,,,,,Arabica,NUCOFFEE,Brazil,Sitio Claro,,,002/1251/0066,NUCOFFEE,1000 m,South of Minas Gerais,Ricardo Luiz Ferreira,10,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Catuai,Completed,Natural / Dry,Sample,8,8,7.75,8,7.5,7.75,Sample,10,10,10,7.92,Sample  84.92,,12%,0 full defects,0,Green,2 full defects,,"December 2nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,
114,84.92,,,,,,Arabica,Brian Speckman,Kenya,,,,37/00395/0335,,,,,320,60 kg,Specialty Coffee Association,2009-2010,"August 26th, 2010",Brian Speckman,,Completed,,Sample,8,7.67,7.83,8.17,7.92,7.75,Sample,10,10,10,7.58,Sample  84.92,,6%,1 full defects,0,,9 full defects,,"August 26th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
115,84.83,,,,,,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,Shi Fang Yuan 十方源,2016 Tainan Coffee Cupping Event Micro Lot 臺南市咖啡評鑑批次,Shi Fang Yuan 十方源,Taiwan,Taiwan Coffee Laboratory,350,"Dongshan Dist., Tainan City 臺南市東山區",Wang Chao Yung 王超永,10,20 kg,Specialty Coffee Association,2016,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Typica,Completed,Natural / Dry,Sample,7.92,7.58,7.83,7.83,7.83,7.83,Sample,10,10,10,8,Sample  84.83,,0%,0 full defects,0,Green,0 full defects,,"May 18th, 2017",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
116,84.83,,,,,,Arabica,Kawacom Uganda LTD,Uganda,Mt.Elgon Bugisu shamba 2,,Kawacom(U)LTD,0,Kawacom uganda LTD,1400-1900,Eastern,Sipi organic coffee project,1,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Completed,Natural / Dry,Sample,7.75,7.92,7.67,7.67,8.25,7.75,Sample,10,10,10,7.83,Sample  84.83,,12%,0 full defects,0,Green,1 full defects,,"June 30th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,
117,84.83,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,220457,Kona Pacific Farmers Cooperative,,KONA,,14,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.67,7.75,7.75,7.75,7.83,8,Sample,10,10,10,8.08,Sample  84.83,,0%,3 full defects,0,,15 full defects,,"April 6th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
118,84.83,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Contact | sidacoop@ethionet.net,,Coffee Processing and Warehouse Enterpri,010/0145,,1500-2000 m,Sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,Sample,7.75,7.92,7.83,7.92,7.75,7.67,Sample,10,10,10,8,Sample  84.83,,10%,0 full defects,0,,2 full defects,,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
119,84.83,,,,,,Arabica,Philip Schluter,Ethiopia,Contact | sidacoop@ethionet.net,,Coffee Processing and Warehouse Enterpri,010/0145,,1500-2000 m,Sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Philip Schluter,,Completed,,Sample,7.42,7.92,7.92,8,7.83,7.83,Sample,10,10,10,7.92,Sample  84.83,,10%,0 full defects,0,,4 full defects,,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
120,84.75,,,,,,Arabica,松澤宏樹 Koju Matsuzawa,Thailand,Matsuzawa Coffee,MCTFHMG15/16,Matsuzawa Coffee,,Matsuzawa Coffee,,Thailand,Matsuzawa Coffee,50,50 kg,Specialty Coffee Institute of Asia,2015,"June 27th, 2016",松澤宏樹 Koju Matsuzawa,Caturra,Completed,Pulped natural / honey,Sample,7.75,7.75,7.75,7.75,8,7.75,Sample,10,10,10,8,Sample  84.75,,12%,0 full defects,0,Green,0 full defects,,"June 27th, 2017",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,
121,84.75,,,,,,Arabica,Lydiah Mwangi,Kenya,KARATINA,,SAGANA,KE 9143,C.DORMAN LTD,1800,NYERI,KARATINA,150,60 kg,Kenya Coffee Traders Association,2014,"June 2nd, 2015",Lydiah Mwangi,SL34,Completed,Washed / Wet,Sample,7.92,7.83,7.58,7.92,7.75,7.83,Sample,10,10,10,7.92,Sample  84.75,,13%,0 full defects,0,Green,0 full defects,,"June 1st, 2016",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,
122,84.75,,,,,,Arabica,CADEXSA,Honduras,Cerro Bueno,,Cadexsa,13-63-174,CADEXSA,1450 msnm,Marcala,Omar Acosta,275,1 kg,Instituto Hondureño del Café,2014,"April 25th, 2014",CADEXSA,Catuai,Completed,Washed / Wet,Sample,7.83,7.75,8,7.67,7.67,7.67,Sample,10,10,10,8.17,Sample  84.75,,11%,0 full defects,0,Green,4 full defects,,"April 25th, 2015",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,
123,84.75,,,,,,Arabica,The Coffee Source Inc.,El Salvador,Several,,La Majada Cooperative,9-29-1986,,1200 mts,Santa Ana,Several producers,250,69 kg,Specialty Coffee Association,2010-2011,"August 23rd, 2011",The Coffee Source Inc.,,Completed,,Sample,7.75,8,8,8.33,7.67,7.92,Sample,10,10,9.33,7.75,Sample  84.75,,15%,0 full defects,0,,3 full defects,,"August 22nd, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
124,84.75,,,,,,Arabica,Grounds for Health Admin,Nicaragua,Santa Martha,,Beneficio Atlantic Sebaco,1-053-0222,,800-1050m,Jinotega,Juan Alvaro Munguia,2,6,Specialty Coffee Association,2009 - 2010,"May 31st, 2010",Grounds for Health Admin,,Completed,,Sample,7.83,7.58,7.58,7.83,7.75,7.67,Sample,10,10,10,8.5,Sample  84.75,,18%,0 full defects,0,,2 full defects,,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
125,84.67,,,,,,Arabica,Consejo Salvadoreño del Café,El Salvador,Monterrey,Jan-71,J.J. Borja Nathan,09-392-69,Cafetalera del Pacifico,1350,Apaneca,J.J. Borja Nathan,150,69 kg,Salvadoran Coffee Council,2016,"June 26th, 2017",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,Sample,7.83,7.83,7.5,8,7.83,7.67,Sample,10,10,10,8,Sample  84.67,,0%,0 full defects,0,Blue-Green,2 full defects,,"June 26th, 2018",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,,
126,84.67,,,,,,Arabica,SanJava Coffee,Indonesia,SRAN Temanggung Plantation,1,wet hulling,,PT. Shriya Artha Nusantara,1200,"Temanggung, Indonesia",PT. Shriya Artha Nusantara,2,1 kg,Specialty Coffee Association of Indonesia,2016,"November 24th, 2016",SanJava Coffee,Java,Completed,Washed / Wet,Sample,7.92,7.83,7.75,7.75,7.75,7.75,Sample,10,10,10,7.92,Sample  84.67,,12%,0 full defects,0,Green,7 full defects,,"November 24th, 2017",Specialty Coffee Association of Indonesia,"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl.Harsono RM South Jakarta",Balkis Faisal - 081284251303 / 085780031543,,
127,84.67,,,,,,Arabica,松澤宏樹 Koju Matsuzawa,Japan,Ada Farm,MCRKPBG 15/16,Ada Farm,,Matsuzawa Coffee,170,ADA OKINAWA JAPAN,Taijiro TOKUDA,20,1 kg,Specialty Coffee Institute of Asia,,"November 2nd, 2016",松澤宏樹 Koju Matsuzawa,Mundo Novo,Completed,Pulped natural / honey,Sample,7.75,7.75,7.75,7.42,8.08,7.83,Sample,10,10,10,8.08,Sample  84.67,,12%,0 full defects,0,Green,0 full defects,,"November 2nd, 2017",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,
128,84.67,,,,,,Arabica,Rodrigo Soto,Costa Rica,Rio Jorco,Tarrazu,Rio Jorco,5-423-0128,Panamerican Coffee Trading,1150,Tarrazu,Johanna,15,69 kg,Specialty Coffee Association of Costa Rica,2015,"October 4th, 2016",Rodrigo Soto,Catuai,Completed,Washed / Wet,Sample,8.08,7.75,7.67,7.83,7.5,7.92,Sample,10,10,10,7.92,Sample  84.67,,10%,0 full defects,0,Blue-Green,2 full defects,,"October 4th, 2017",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,
129,84.67,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,SAN DIEGO BUENA VISTA,11/08/0109,SAN DIEGO BUENA VISTA,11/08/0109,"WAELTI SCHOENFELD EXPORTADORES DE CAFE, S.A.",1600,ACATENANGO,JUAN BOCK,120,34 kg,Asociacion Nacional Del Café,2015,"June 1st, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.75,7.83,7.58,8,7.92,7.75,Sample,10,10,10,7.83,Sample  84.67,,10%,0 full defects,0,Green,1 full defects,,"June 1st, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
130,84.67,,,,,,Arabica,Fabian Calderon Mora,Costa Rica,Coopetarrazú,,Coopetarrazú,5-114-0171,Coopetarrazú.R.L,1750,Tarrazú,Coopetarrazú,50,1 lbs,Specialty Coffee Association of Costa Rica,2014,"July 6th, 2015",Fabian Calderon Mora,Caturra,Completed,Washed / Wet,Sample,8.17,8,7.83,7.17,7.83,7.75,Sample,10,10,10,7.92,Sample  84.67,,12%,0 full defects,0,Green,0 full defects,,"July 5th, 2016",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,
131,84.67,,,,,,Arabica,EssenceCoffee,Ethiopia,Moplaco,,Moplaco,33,Essence Coffee,1900M,Yirgacheffe,Moplaco,250,30 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Completed,Washed / Wet,Sample,8.08,7.83,7.75,7.83,7.58,7.67,Sample,10,10,10,7.92,Sample  84.67,,10%,0 full defects,0,,3 full defects,,"May 22nd, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,
132,84.67,,,,,,Arabica,EssenceCoffee,Costa Rica,Finca Salaca Las Brisas,,Beneficio Las Brisas,58180422,Essence Coffee,1750M,Costa Rica,Maria Elena Castro,20,69 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Other,Completed,Other,Sample,7.67,7.58,7.75,7.75,7.67,8.58,Sample,10,10,10,7.67,Sample  84.67,,8%,0 full defects,0,Green,1 full defects,,"May 22nd, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,
133,84.67,,,,,,Arabica,Eric Thormaehlen,Costa Rica,VARIOS,,CORICAFE SA,5-0048-0052,CORICAFE S.A.,1200,WEST VALLEY / CENTRAL VALLEY BLEND,CORICAFE BLEND,275,1 kg,Specialty Coffee Association of Costa Rica,2014,"March 5th, 2014",Eric Thormaehlen,Catuai,Completed,Washed / Wet,Sample,8,7.58,7.83,7.75,7.75,7.75,Sample,10,10,10,8,Sample  84.67,,11%,0 full defects,0,Green,4 full defects,,"March 5th, 2015",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,
134,84.67,,,,,,Arabica,Rob Tuttle,Costa Rica,,,,5-1106-0011,Thrive Farmers,,,,1,2 kg,Specialty Coffee Association,2012,"January 3rd, 2014",Rob Tuttle,,Completed,Washed / Wet,Sample,8.08,7.83,7.75,7.83,7.92,8,Sample,10,10,9.33,7.92,Sample  84.67,,0%,1 full defects,0,Green,10 full defects,,"January 3rd, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
135,84.67,,,,,,Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,Dragon 龍咖啡,,Dragon 龍咖啡,,Blossom Valley宸嶧國際,1000 M,Taichung Xinshe 台中市新社區,Gu yong long 古永龍,10,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Completed,Washed / Wet,Sample,8,7.92,7.75,7.75,7.75,7.75,Sample,10,10,10,7.75,Sample  84.67,,11%,0 full defects,0,Green,0 full defects,,"December 26th, 2014",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,
136,84.67,,,,,,Arabica,Compañia Colombiana Agroindustrial S.A,Colombia,,,Trilladora Agricola - Bucaramanga,3-79-0543,ecom cca sa,1550,Santander,,250,70 kg,Almacafé,2013,"December 20th, 2013",Compañia Colombiana Agroindustrial S.A,Caturra,Completed,Washed / Wet,Sample,7.75,7.83,7.75,7.83,7.75,7.83,Sample,10,10,10,7.92,Sample  84.67,,0%,0 full defects,0,Green,0 full defects,,"December 20th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
137,84.67,,,,,,Arabica,Dream Together,Kenya,,,,n/a,Dream Together Inc.,2000,Nyeri Province,Sasini,235,60 kg,Specialty Coffee Institute of Asia,2012,"September 16th, 2012",Dream Together,SL28,Completed,Washed / Wet,Sample,7.75,7.92,7.83,8,7.58,7.75,Sample,10,10,10,7.83,Sample  84.67,,11%,0 full defects,0,Bluish-Green,0 full defects,,"September 16th, 2013",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,
138,84.67,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,AGROPECUARIA QUIAGRAL,,BENEFICIO IXCHEL,11/23/1088,"UNEX (GUATEMALA), S.A",4300,ORIENTE,AGROPECUARIA QUIAGRAL,250,1 kg,Asociacion Nacional Del Café,2012,"July 17th, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,8,7.83,7.67,7.83,7.67,8,Sample,10,10,10,7.67,Sample  84.67,,11%,0 full defects,0,Green,4 full defects,,"July 17th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
139,84.67,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,VALPARAISO,,BENEFICIO VALPARAISO,11/1886/02,SERTRASA,5000,"ACATENANGO, CHIMALTENANGO",SERTRASA,125,1 kg,Asociacion Nacional Del Café,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.67,7.83,7.67,8,7.67,7.83,Sample,10,10,10,8,Sample  84.67,,12%,0 full defects,0,Green,4 full defects,,"July 3rd, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
140,84.67,,,,,,Arabica,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Mexico,"EL NOGAL, LA HIGUERA, LOS LAURELES",,CAFETALEROS DE EL REMUDADERO S.P.R. DE R.L.,"703816889, 108282,703816891",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE SA DE CV,1200,EL REMUDADERO,"JORGE TORRES BELTRAN, VICENTE HERNANDEZ OCHOA, IGNACIO TORRES",80,1 kg,AMECAFE,2012,"July 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Completed,Washed / Wet,Sample,7.83,7.58,7.67,7.92,7.92,7.83,Sample,10,10,10,7.92,Sample  84.67,,13%,0 full defects,0,,3 full defects,,"July 2nd, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,
141,84.67,,,,,,Arabica,AFCA,Uganda,,,UGACOF,x,UGACOF LTD,1700-1850m,Mbale,,320,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Completed,Washed / Wet,Sample,7.92,7.83,7.75,7.92,7.67,7.75,Sample,10,10,10,7.83,Sample  84.67,,11%,0 full defects,0,Blue-Green,3 full defects,,"February 12th, 2013",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,
142,84.67,,,,,,Arabica,Benjamin Schmerler,Peru,,,,,,,"Penachi, CECANOR",CECANOR,1,60 kg,Specialty Coffee Association,,"June 14th, 2011",Benjamin Schmerler,,Completed,,Sample,7.67,7.83,7.75,7.75,7.92,7.83,Sample,10,10,10,7.92,Sample  84.67,,0%,0 full defects,0,,3 full defects,,"June 13th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
143,84.67,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Contact | sidacoop@ethionet.net,,Coffee Processing and Warehouse Enterpri,010/0145,,1500-2000 m,Sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,Sample,7.42,7.75,7.75,8,8,7.92,Sample,10,10,10,7.83,Sample  84.67,,20%,0 full defects,0,,3 full defects,,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
144,84.58,,,,,,Arabica,Jungle Estate,Kenya,JUNGLE ESTATE,10NG0093,NKG MILLS,,Keremara Limited,1754,NYERI,JUNGLE ESTATE,66,60 kg,Kenya Coffee Traders Association,,"January 11th, 2018",Jungle Estate,SL34,Completed,Washed / Wet,Sample,7.92,7.75,7.83,7.75,7.58,7.92,Sample,10,10,10,7.83,Sample  84.58,,11%,0 full defects,0,Blue-Green,5 full defects,,"January 11th, 2019",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,
145,84.58,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-1724,Bucaramanga,3-37-1724,Racafe & Cia S.C.A,1500,Santander,,250,70 kg,Almacafé,2016,"January 10th, 2017",Racafe & Cia S.C.A,Other,Completed,Washed / Wet,Sample,7.83,7.67,7.58,7.92,7.67,7.83,Sample,10,10,10,8.08,Sample  84.58,,0%,0 full defects,0,Blue-Green,4 full defects,,"January 10th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
146,84.58,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-1291,Bachue,3-37-1291,Racafe & Cia S.C.A,,Huila,La Plata,125,70 kg,Almacafé,2016,"December 28th, 2016",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.92,7.83,7.58,8,7.83,7.67,Sample,10,10,10,7.75,Sample  84.58,,0%,0 full defects,1,Green,5 full defects,,"December 28th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
147,84.58,,,,,,Arabica,Daniel Magu,Kenya,BLEND,,SAGANA,KE 3127,C dorman Ltd,1800,NYERI,BLEND,100,60 kg,Kenya Coffee Traders Association,2013,"July 21st, 2014",Daniel Magu,Peaberry,Completed,Washed / Wet,Sample,7.83,7.83,7.83,7.75,7.58,7.83,Sample,10,10,10,7.92,Sample  84.58,,10%,0 full defects,0,Bluish-Green,2 full defects,,"July 21st, 2015",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,
148,84.58,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL MORITO,,EL MORITO,11/972/26,"Armajaro Guatemala, S. A.",5000 FT.,JALAPA,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2014,"May 29th, 2014",Juan Luis Alvarado Romero,Pacas,Completed,Washed / Wet,Sample,7.75,7.83,7.67,7.92,7.75,7.83,Sample,10,10,10,7.83,Sample  84.58,,11%,0 full defects,0,Green,1 full defects,,"May 29th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
149,84.58,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,,BENEFICIO IXCHEL,11-23-0291,"UNEX (GUATEMALA), S.A.",4000 PSN,ORIENTE,AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del Café,2014,"March 24th, 2014",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,8,7.92,7.67,7.58,7.58,7.67,Sample,10,10,10,8.17,Sample  84.58,,9%,0 full defects,0,Green,0 full defects,,"March 24th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
